届数	决赛时间	举办地	冠军	决赛对阵（比分）	冠军决胜局使用英雄	备注
S1	2011-06（瑞典·延雪平 DreamHack）	瑞典 延雪平	Fnatic（欧洲）	Fnatic 2:1 against All authority	狼人·沃里克 火男·布兰德 死歌·卡尔萨斯 寒冰·艾希 琴女·娑娜	首届赛事，决赛为BO3；年代久远，阵容据社区资料整理
S2	2012-10-13	美国 洛杉矶	TPA 台北暗杀星（LMS）	TPA 3:1 Azubu Frost	上单：暮光之眼·慎 打野：祖安狂人·蒙多 中单：发条魔灵·奥莉安娜 下路：探险家·伊泽瑞尔 辅助：雪原双子·努努	黑马夺冠，击败夺冠热门M5；该阵容即S2冠军皮肤阵容
S3	2013-10-04	美国 洛杉矶	SK Telecom T1（LCK）	SKT 3:0 皇族 RYL	上单：武器大师·贾克斯 打野：德玛西亚皇子·嘉文四世 中单：酒桶·古拉加斯 下路：英勇投弹手·库奇 辅助：荆棘之兴·婕拉	Faker首届S赛冠军；Impact三局贾克斯打穿上路
S4	2014-10-19	韩国 首尔	Samsung White SSW（LCK）	SSW 3:1 皇族 SHR	上单：虚空行者·卡萨丁 打野：傲之追猎者·雷恩加尔 中单：发条魔灵·奥莉安娜 下路：英勇投弹手·库奇 辅助：风暴之怒·迦娜	Mata获FMVP；总决赛最后一局仅用时22分59秒
S5	2015-10-31	德国 柏林	SKT T1（LCK）	SKT 3:1 KOO Tigers	上单：迷失之牙·纳尔 打野：蜘蛛女皇·伊莉丝 中单：符文法师·瑞兹 下路：战争女神·希维尔 辅助：牛头酋长·阿利斯塔	Faker决胜局瑞兹9分钟一打二反杀；MaRin获FMVP
S6	2016-10-29	美国 洛杉矶	SKT T1（LCK）	SKT 3:2 Samsung Galaxy	上单：巨魔之王·特朗德尔 打野：盲僧·李青 中单：机械先驱·维克托 下路：寒冰射手·艾希 辅助：弗雷尔卓德之心·布隆	SKT三冠王朝达成；Faker获FMVP
S7	2017-11-04	中国 北京（鸟巢）	Samsung Galaxy SSG（LCK）	SSG 3:0 SKT	上单：虚空恐惧·科加斯 打野：北地之怒·瑟庄妮 中单：虚空先知·玛尔扎哈 下路：惩戒之箭·韦鲁斯 辅助：仙灵女巫·璐璐	Ruler决胜局韦鲁斯闪现R定住Faker卡尔玛，终结SKT三连冠；Ruler获FMVP
S8	2018-11-03	韩国 仁川	Invictus Gaming IG（LPL）	IG 3:0 Fnatic	上单：暗裔剑魔·亚托克斯 打野：青钢影·卡蜜尔 中单：正义巨像·加里奥 下路：虚空之女·卡莎 辅助：幻翎·洛	LPL赛区首个S赛冠军；Ning获FMVP
S9	2019-11-10	法国 巴黎	FunPlus Phoenix FPX（LPL）	FPX 3:0 G2	上单：海洋之灾·普朗克 打野：盲僧·李青 中单：正义巨像·加里奥 下路：逆羽·霞 辅助：魂锁典狱长·锤石	LPL两连冠；Tian获FMVP
S10	2020-10-31	中国 上海	DAMWON Gaming DWG（LCK）	DWG 3:1 Suning SN	上单：山隐之焰·奥恩 打野：永猎双子·千珏 中单：暗黑元首·辛德拉 下路：皮城女警·凯特琳 辅助：不屈之枪·潘森	LCK时隔三年重夺冠军；Canyon获FMVP
S11	2021-11-06	冰岛 雷克雅未克	EDward Gaming EDG（LPL）	EDG 3:2 DWG KIA	上单：狂暴之心·凯南 打野：德邦总管·赵信 中单：暮光星灵·佐伊 下路：残月之肃·厄斐琉斯 辅助：幻翎·洛	EDG突破队史首冠，打破LCK包围；Scout获FMVP
S12	2022-11-05	美国 旧金山	DRX（LCK）	DRX 3:2 T1	上单：暗裔剑魔·亚托克斯 打野：战争之影·赫卡里姆 中单：沙漠皇帝·阿兹尔 下路：皮城女警·凯特琳 辅助：星界游神·巴德	史上最大黑马（从入围赛打起）；Deft十年首冠；Kingen获FMVP
S13	2023-11-19	韩国 首尔	T1（LCK）	T1 3:0 Weibo Gaming WBG	上单：暗裔剑魔·亚托克斯 打野：盲僧·李青 中单：离群之刺·阿卡丽 下路：逆羽·霞 辅助：幻翎·洛	Faker个人第四冠；Zeus获FMVP
S14	2024-11-02	英国 伦敦	T1（LCK）	T1 3:2 Bilibili Gaming BLG	上单：酒桶·古拉加斯 打野：德邦总管·赵信 中单：正义巨像·加里奥 下路：逆羽·霞 辅助：圣锤之毅·波比	T1卫冕成功，Faker第五冠（加里奥决胜局）；Faker获FMVP
S15	2025-11-09	中国 成都	T1（LCK）	T1 3:2 KT Rolster	上单：青钢影·卡蜜尔 打野：不屈之枪·潘森 中单：正义巨像·加里奥 下路：赏金猎人·厄运小姐 辅助：曙光女神·蕾欧娜	
